RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Danny Wolf,Bro,*,F,21.5,2,2.9,14.0,0.0,2,1.0,1,0.0,0,0.0,0.0,0.532,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,13.8,0.0,0.0
,Malaki Branham,Was,*,F,22.5,5,6.9,18.5,8.1,8,0.75,6,0.833,5,0.2,0.591,0.654,3.8,1.6,0.6,0.0,0.0,0.2,5.4,4.4,6.0,8.9,139.5,123.7
,Charles Bassey,Mem,*,C-F,25.1,2,15.3,14.0,10.9,3,0.333,8,0.375,0,0.0,0.375,0.376,3.5,7.5,1.0,0.5,0.5,0.5,11.0,4.5,12.0,7.8,110.8,99.3
,Jared McCain,Phi,*,G,21.7,3,10.3,13.5,10.0,0,0.0,7,0.0,2,0.0,0.0,0.0,0.0,0.7,1.3,0.3,0.0,0.3,0.7,1.3,2.0,0.0,28.4,107.7
,Darius Garland,Cle,*,G,25.8,3,24.5,24.5,12.1,8,1.0,17,0.294,19,0.368,0.431,0.493,13.0,3.0,5.0,1.0,0.0,1.7,16.0,18.0,21.0,9.5,110.7,111.2
,Nae'Qwan Tomlin,Cle,*,F,24.9,5,12.8,19.2,3.8,10,0.9,18,0.722,7,0.0,0.52,0.595,7.0,3.6,0.6,1.2,0.8,0.2,10.6,7.6,11.2,7.7,139.4,92.6
,Cody Martin,Ind,*,F,30.1,4,13.8,12.2,28.1,6,0.5,5,0.4,5,0.0,0.2,0.277,1.8,3.5,0.5,1.0,0.5,1.0,5.3,2.3,5.8,4.2,54.4,107.7
,Kelly Olynyk,San,*,F-C,34.6,3,6.3,9.0,25.0,0,0.0,3,1.0,0,0.0,1.0,1.0,2.0,1.7,1.7,0.0,0.0,0.3,3.7,3.7,5.3,11.4,179.1,101.6
,Jeremy Sochan,San,*,F,22.5,6,14.6,15.8,20.5,8,0.75,16,0.688,7,0.429,0.674,0.698,6.2,2.3,1.3,0.5,0.3,1.0,8.5,7.5,9.8,7.3,124.1,96.2
,Lindy Waters III,San,*,F,28.3,5,8.2,10.4,0.0,0,0.0,0,0.0,10,0.5,0.75,0.75,3.0,0.8,0.6,0.0,0.0,0.0,3.8,3.6,4.4,5.5,160.2,108.7
,Precious Achiuwa,Sac,*,F,26.2,6,18.8,13.7,9.3,11,0.545,23,0.739,6,0.0,0.586,0.591,6.7,4.7,0.8,0.8,0.5,0.5,11.3,7.5,12.2,6.2,124.8,117.5
,Jalen Green,Pho,*,G,23.8,2,14.9,38.3,7.9,5,0.6,9,0.556,14,0.429,0.609,0.615,15.5,2.0,2.0,1.0,0.0,1.0,17.5,17.5,19.5,10.6,121.2,112.5
,Isaiah Collier,Uta,*,G,21.1,4,23.6,16.6,27.0,13,0.692,19,0.632,5,0.4,0.625,0.656,9.8,3.5,7.0,0.0,0.5,2.3,13.3,16.8,20.3,10.5,124.5,108.8
,Maxi Kleber,Lal,*,F,33.8,3,15.9,4.4,0.0,2,0.5,1,0.0,3,0.667,0.75,0.717,2.3,2.3,1.3,0.3,0.7,0.0,4.7,3.7,6.0,4.8,174.4,106.4
,De'Aaron Fox,San,*,G,27.9,4,34.0,27.0,21.8,11,0.909,40,0.6,24,0.333,0.563,0.596,20.5,4.0,5.8,1.0,0.3,4.5,24.5,26.3,30.3,9.2,109.2,108.9
,Monte Morris,Ind,*,G,30.4,5,12.5,14.1,4.9,4,0.5,11,0.364,8,0.25,0.368,0.385,3.2,1.4,1.8,0.2,0.2,0.2,4.6,5.0,6.4,6.4,98.1,119.6
,T.J. McConnell,Ind,*,G,33.6,3,14.3,29.6,0.0,1,1.0,25,0.44,6,0.167,0.403,0.413,8.7,1.0,2.3,0.7,0.0,0.0,9.7,11.0,12.0,7.6,99.2,116.9
